NOUNS,PRONOUN,ADJECTIVES,VERB,ADVERB,TIME,MANNER,ADVERB FREQUENCY,VERB STEMS
संज्ञा,सर्वनाम,हवादार,कार्य ,कल,बीता हुआ कल,कर ,जल्दी,रहा 
मेरी कार,मैं,क्रोधित,सहमत ,आज,आज,से,पहले,रही
हरी कार,आप,क्रुध,होना ,कल,आने वाला कल,,हमेशा,
तीन कारें,वह,खराब,आना ,अब,यहाँ,,अब,
कार गेराज,वह,बेकार,सेंकना ,तब,वहाँ,,अक्सर,
कार से बाहर,हम,बड़ा,लाओ ,बाद में,जल्दी से,,कभी-कभार,
बांह,वे,कड़वा,खरीद,आज रात,धीरे से,,तुरंत,
वापस,मुझे,उबाऊ,बुलाना,अभी,हमेशा,,रोज़,
गाल,आप,बहादुर,चढना,कल रात,सदैव,,विरले,
छाती,उसे,खारा,रोना,आज सुबह,सदा,,फिर,
ठोड़ी,उसकी,निश्चिन्त,नाच,अगले हफ्ते,कभी-कभी,,देर,
कान,हम,चालाक,ख्वाब,पहले ही,कभी नहीं,,वर्ष,
कोहनी,उनको,ठंडा,पीना,हाल ही में,कभी नहीं,,महीना,
आंख,मेरा,परंपरागत,खा,हाल ही में,,,सप्ताह,
चेहरा,मेरी,क्रूय,गिरना,शीघ्र,,,,
उंगली,तुम्हारा,गहरा,पकड़ लेना,तुरंत,,,,
उंगलियाँ,आपका,स्वादिष्ट,मदद,अब तक,,,,
पैर,उसकी,खिन्न,कूद,अभी तक,,,,
बाल,उसके,निराश,छलांग,पहले,,,,
हाथ,हमारे,इमानदार,हसना,यहां,,,,
सिर,उनके,हैरान,छोड़ना,वहाँ,,,,
दिल,मेरा,सुखा,सुनना,हर जगह,,,,
घुटना,तुम्हारा,संकी,बनाना,कहीं भी,,,,
पैर,उसकी,मनोरंजक,पढ़ना,कहीं नहीं,,,,
ओंठ,उसका,बढ़िया,खेलना,घर,,,,
मुंह,उसकी,उत्तेजित,दौड़ना,दूर,,,,
गला,हमारा,उत्तेजक,भेजना,बाहर,,,,
गर्दन,उनका,महंगा,गाना,बहुत,,,,
नाक,उनकी,वफादार,बोलना,काफी,,,,
कंधा,वह,नकली,फेंकना,सुंदर,,,,
पेट,मेरे,मशहूर,छूना,वास्तव में,,,,
दांतों,,प्रसिद्द,वोट देना,उपवास,,,,
जांघ,,मोटा,लिखना,अच्छी तरह से,,,,
गला,,विदेशी,संतुलन,कठिन,,,,
अंगूठा,,अनौपचारिक,जाँचना,जल्दी से,,,,
पैर की अंगुली,,उदार,चुना,धीरे से,,,,
जीभ,,असली,जुटाया हुआ,ध्यान से,,,,
दांत,,चमकीला,निर्णय लिया,मुश्किल से,,,,
घर,,अच्छा,विकसित,मात्र,,,,
सूरज,,कृतज्ञ,मूल्यांकन,अधिकतर,,,,
बच्चे,,खुश,जांच,लगभग,,,,
महिलाएँ,,स्वस्थ,लाभ,बिल्कुल,,,,
बाज़ार,,भारी,लागू,एक साथ,,,,
कुत्ता,,पवित्र,सूचित करना,अकेला,,,,
बच्चों,,गरम,प्रस्तुत किया,सदा,,,,
दोस्त,,ऊंचा,संभाला,आमतौर पर,,,,
पार्क,,प्रभावित,कामयाब,कभी कभी,,,,
खुशी,,अशुद्ध,व्यवस्था करना,कदाचित,,,,
बिल्ली,,सस्ता,निष्पादित,कभी नहीं,,,,
स्कूल,,बदनाम,अंजाम,शायद ही कभी,,,,
किताब,,अनौपचारिक,बनाया था,से,,,,
पेड़,,भोला,देखना,हंस,,,,
बाज,,ढीठ,उधार लेना,रोती,,,,
चिड़िया,,रोचक,जाना,गा,,,,
,,बुद्धिमान,पकड़ना,,,,,
,,दयालु,पकाना,,,,,
,,आलसी,रेंगना,,,,,
,,हल्का,खींचना,,,,,
,,निचा,लड़ना,,,,,
,,लम्बा,उड़ना,,,,,
,,गुनगुना,लात मारना,,,,,
,,दिमागी,झूलना,,,,,
,,कंजूस,हटाना,,,,,
,,आधुनिक,जोड़ना,,,,,
,,सांसारिक,प्रशंसा करना,,,,,
,,प्राकृतिक,स्वीकार करना,,,,,
,,स्वाभाविक,सलाह देना,,,,,
,,नमा,कर सकना,,,,,
,,पौष्टिक,अनुमति,,,,,
,,बूढा,घोषणा,,,,,
,,पुराना,उत्तर,,,,,
,,शांत,क्षमा माँगना,,,,,
,,गरीब,वाहवाही,,,,,
,,तीता,मंजूर,,,,,
,,शुद्द,आकर्षित,,,,,
,,विश्वसनीय,वापस,,,,,
,,धार्मिक,व्यवहार करना,,,,,
,,मितभाषी,आशीर्वाद,,,,,
,,अमीर,उबालना,,,,,
,,खुरदुरा,उधार,,,,,
,,गोल,काटना,,,,,
,,उदास,ताली,,,,,
,,सुरक्षित,इकट्ठा,,,,,
,,धर्मनिरपेक्ष,भ्रमित,,,,,
,,समझदार,साइकिल,,,,,
,,भावुक,घिसटना,,,,,
,,संजीदा,क्षति,,,,,
,,बीमार,पहुंचा,,,,,
,,फिस्लाहा,पहिनाना,,,,,
,,छोटा,पता लगाना,,,,,
,,कोमर,शिक्षित,,,,,
,,खट्टा,प्रोत्साहित करना,,,,,
,,मसालेदार,मनोरंजन,,,,,
,,आध्यात्मिक,पालन,,,,,
,,चकोर,करना,,,,,
,,बासी,पकड़,,,,,
,,चिपचिपा,अनुमान,,,,,
,,बलवान,परेशान,,,,,
,,चकित,सूचित,,,,,
,,मुर्ख,न्याय,,,,,
,,मीठा,दस्तक,,,,,
,,प्रतिभाशाली,हसना,,,,,
,,बातूनी,झूठ,,,,,
,,लम्बा,पिघलाना,,,,,
,,पतला,हिलना,,,,,
,,खुश,सूचना,,,,,
,,दुबला,लगाए,,,,,
,,डरपोक,नाटक,,,,,
,,त्रिकोण,सवाल,,,,,
,,बेवफ़ा,जोखिम,,,,,
,,अकृतज्ञ,बरसाना,,,,,
,,दुखी,गायब,,,,,
,,अपवित्र,धोया,,,,,
,,निष्ठुर,पूछना ,,,,,
,,अस्वाभाविक,पर,,,,,
,,अप्राकृतिक,उगता,,,,,
,,असुरक्षित,खेल,,,,,
,,परेशान,रहे,,,,,
,,हींसक,खरीदारी,,,,,
,,कमज़ोर,भोंक,,,,,
,,गीरा,गाना,,,,,
,,बुद्धिमान,गाया,,,,,
,,चिंतित,गाई,,,,,
,,जवान,,,,,,